scans,query,mII.126.05495,mII.138.05495,mII.144.06552,mII.168.06552,mII.204.08665,mII.186.07608
3687,4,9945,1933,412.3,810.2,3273,NA
2540,6,2945,759.2,195.4,262.9,998.4,188.5
4393,9,13620,3798,NA,1526,5041,1014
2739,10,7327,1963,468.6,624.3,2496,NA
